instance_id,repo,Base_total_energy_joules,Base_duration_seconds,Base_power_watts,Base_cpu_usage_mean_percent,Base_carbon_grams,Head_total_energy_joules,Head_duration_seconds,Head_power_watts,Head_cpu_usage_mean_percent,Head_carbon_grams,Head_ZS_Oracle_total_energy_joules,Head_ZS_Oracle_duration_seconds,Head_ZS_Oracle_power_watts,Head_ZS_Oracle_cpu_usage_mean_percent,Head_ZS_Oracle_carbon_grams,Head_ZS_Realistic_total_energy_joules,Head_ZS_Realistic_duration_seconds,Head_ZS_Realistic_power_watts,Head_ZS_Realistic_cpu_usage_mean_percent,Head_ZS_Realistic_carbon_grams,Head_CoT_Oracle_total_energy_joules,Head_CoT_Oracle_duration_seconds,Head_CoT_Oracle_power_watts,Head_CoT_Oracle_cpu_usage_mean_percent,Head_CoT_Oracle_carbon_grams,Head_CoT_Realistic_total_energy_joules,Head_CoT_Realistic_duration_seconds,Head_CoT_Realistic_power_watts,Head_CoT_Realistic_cpu_usage_mean_percent,Head_CoT_Realistic_carbon_grams
pydata__xarray-9393,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9407,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9415,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9451,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9453,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9457,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9482,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9509,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9517,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9520,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9552,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9561,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9586,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9619,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9651,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9666,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9684,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9687,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9688,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9719,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9720,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9766,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9782,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9881,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9977,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-5596,pylint-dev/pylint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-6181,pylint-dev/pylint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint-dev__pylint-7747,pylint-dev/pylint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-11179,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-11364,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-11526,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-11674,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-11754,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12116,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12117,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12155,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12172,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12211,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12230,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12246,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12379,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12446,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12514,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12543,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12567,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12581,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12625,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12656,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12701,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12760,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12822,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12859,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12931,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-12989,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13151,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13174,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13186,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13243,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn__scikit-learn-13253,scikit-learn/scikit-learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sphinx-doc__sphinx-10807,sphinx-doc/sphinx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sphinx-doc__sphinx-12598,sphinx-doc/sphinx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sphinx-doc__sphinx-12615,sphinx-doc/sphinx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sphinx-doc__sphinx-9547,sphinx-doc/sphinx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-14278,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-14331,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-24665,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-25205,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-25591,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-25758,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-25852,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26004,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26036,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26358,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26546,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26693,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26848,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26935,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26940,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-26989,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-27085,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-27347,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy__sympy-27666,sympy/sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
